jsonpath,supported_by,supported_by_excluding_standins,openrouter,openai,together,fireworks,groq,xai,deepseek,mistral,cerebras
$.stream_options,6,6,1,1,0,1,0,1,1,0,1
$.stream_options.include_usage,6,6,1,1,0,1,0,1,1,0,1
$.user,6,6,1,1,0,1,1,1,0,0,1
$.metadata,5,5,1,1,0,1,1,0,0,1,0
$.prediction,5,5,1,1,0,1,0,0,0,1,1
$.function_call,4,4,0,1,1,1,1,0,0,0,0
$.messages[*].content[*].input_audio,4,4,1,1,1,0,0,0,0,1,0
$.messages[*].reasoning,4,4,1,0,1,0,1,0,0,0,1
$.messages[*].tool_calls[*].index,4,4,0,0,1,0,0,1,0,1,1
$.prediction.content,4,4,1,1,0,0,0,0,0,1,1
$.prediction.type,4,4,1,1,0,0,0,0,0,1,1
$.function_call.name,3,3,0,1,1,0,1,0,0,0,0
$.functions,3,3,0,1,0,1,1,0,0,0,0
$.messages[*].content[*].file,3,3,1,1,0,0,0,1,0,0,0
$.messages[*].function_call,3,3,0,1,1,0,1,0,0,0,0
$.messages[*].function_call.arguments,3,3,0,1,1,0,1,0,0,0,0
$.messages[*].function_call.name,3,3,0,1,1,0,1,0,0,0,0
$.min_p,3,3,1,0,1,1,0,0,0,0,0
$.prediction.content[*].text,3,3,1,1,0,0,0,0,0,0,1
$.prediction.content[*].type,3,3,1,1,0,0,0,0,0,0,1
$.repetition_penalty,3,3,1,0,1,1,0,0,0,0,0
$.top_k,3,3,1,0,1,1,0,0,0,0,0
$.context_length_exceeded_behavior,2,2,0,0,1,1,0,0,0,0,0
$.echo,2,2,0,0,1,1,0,0,0,0,0
$.functions[*].description,2,2,0,1,0,0,1,0,0,0,0
$.functions[*].name,2,2,0,1,0,0,1,0,0,0,0
$.functions[*].parameters,2,2,0,1,0,0,1,0,0,0,0
$.messages[*].audio,2,2,1,1,0,0,0,0,0,0,0
$.messages[*].audio.id,2,2,1,1,0,0,0,0,0,0,0
$.messages[*].content[*].prompt_cache_breakpoint,2,2,1,1,0,0,0,0,0,0,0
$.messages[*].content[*].video_url,2,2,1,0,1,0,0,0,0,0,0
$.messages[*].reasoning_content,2,2,0,0,1,0,0,1,0,0,0
$.messages[*].refusal,2,2,1,1,0,0,0,0,0,0,0
$.modalities,2,2,1,1,0,0,0,0,0,0,0
$.prompt_cache_options,2,2,1,1,0,0,0,0,0,0,0
$.prompt_cache_options.mode,2,2,1,1,0,0,0,0,0,0,0
$.prompt_cache_options.ttl,2,2,1,1,0,0,0,0,0,0,0
$.reasoning,2,2,1,0,1,0,0,0,0,0,0
$.reasoning_format,2,2,0,0,0,0,1,0,0,0,1
$.store,2,2,0,1,0,0,1,0,0,0,0
$.thinking,2,2,0,0,0,1,0,0,1,0,0
$.web_search_options,2,2,0,1,0,0,0,1,0,0,0
$.web_search_options.search_context_size,2,2,0,1,0,0,0,1,0,0,0
$.web_search_options.user_location,2,2,0,1,0,0,0,1,0,0,0
$.audio,1,1,0,1,0,0,0,0,0,0,0
$.audio.format,1,1,0,1,0,0,0,0,0,0,0
$.audio.voice,1,1,0,1,0,0,0,0,0,0,0
$.audio.voice.id,1,1,0,1,0,0,0,0,0,0,0
$.cache_control,1,1,1,0,0,0,0,0,0,0,0
$.cache_control.ttl,1,1,1,0,0,0,0,0,0,0,0
$.cache_control.type,1,1,1,0,0,0,0,0,0,0,0
$.chat_template_kwargs,1,1,0,0,1,0,0,0,0,0,0
$.citation_options,1,1,0,0,0,0,1,0,0,0,0
$.clear_thinking,1,1,0,0,0,0,0,0,0,0,1
$.compliance,1,1,0,0,1,0,0,0,0,0,0
$.compound_custom,1,1,0,0,0,0,1,0,0,0,0
$.compound_custom.models,1,1,0,0,0,0,1,0,0,0,0
$.compound_custom.models.answering_model,1,1,0,0,0,0,1,0,0,0,0
$.compound_custom.models.reasoning_model,1,1,0,0,0,0,1,0,0,0,0
$.compound_custom.tools,1,1,0,0,0,0,1,0,0,0,0
$.compound_custom.tools.enabled_tools,1,1,0,0,0,0,1,0,0,0,0
$.compound_custom.tools.wolfram_settings,1,1,0,0,0,0,1,0,0,0,0
$.debug,1,1,1,0,0,0,0,0,0,0,0
$.debug.echo_upstream_body,1,1,1,0,0,0,0,0,0,0,0
$.deferred,1,1,0,0,0,0,0,1,0,0,0
$.disable_reasoning,1,1,0,0,0,0,0,0,0,0,1
$.disable_tool_validation,1,1,0,0,0,0,1,0,0,0,0
$.documents,1,1,0,0,0,0,1,0,0,0,0
$.documents[*].id,1,1,0,0,0,0,1,0,0,0,0
$.documents[*].source,1,1,0,0,0,0,1,0,0,0,0
$.documents[*].source.data,1,1,0,0,0,0,1,0,0,0,0
$.documents[*].source.text,1,1,0,0,0,0,1,0,0,0,0
$.documents[*].source.type,1,1,0,0,0,0,1,0,0,0,0
$.echo_last,1,1,0,0,0,1,0,0,0,0,0
$.exclude_domains,1,1,0,0,0,0,1,0,0,0,0
$.guardrails,1,1,0,0,0,0,0,0,0,1,0
$.guardrails[*].block_on_error,1,1,0,0,0,0,0,0,0,1,0
$.guardrails[*].moderation_llm_v1,1,1,0,0,0,0,0,0,0,1,0
$.guardrails[*].moderation_llm_v1.action,1,1,0,0,0,0,0,0,0,1,0
$.guardrails[*].moderation_llm_v1.custom_category_thresholds,1,1,0,0,0,0,0,0,0,1,0
$.guardrails[*].moderation_llm_v1.ignore_other_categories,1,1,0,0,0,0,0,0,0,1,0
$.guardrails[*].moderation_llm_v1.model_name,1,1,0,0,0,0,0,0,0,1,0
$.guardrails[*].moderation_llm_v2,1,1,0,0,0,0,0,0,0,1,0
$.guardrails[*].moderation_llm_v2.action,1,1,0,0,0,0,0,0,0,1,0
$.guardrails[*].moderation_llm_v2.custom_category_thresholds,1,1,0,0,0,0,0,0,0,1,0
$.guardrails[*].moderation_llm_v2.ignore_other_categories,1,1,0,0,0,0,0,0,0,1,0
$.guardrails[*].moderation_llm_v2.model_name,1,1,0,0,0,0,0,0,0,1,0
$.ignore_eos,1,1,0,0,0,1,0,0,0,0,0
$.image_config,1,1,1,0,0,0,0,0,0,0,0
$.include_domains,1,1,0,0,0,0,1,0,0,0,0
$.include_reasoning,1,1,0,0,0,0,1,0,0,0,0
$.messages[*].audio.data,1,1,1,0,0,0,0,0,0,0,0
$.messages[*].audio.expires_at,1,1,1,0,0,0,0,0,0,0,0
$.messages[*].audio.transcript,1,1,1,0,0,0,0,0,0,0,0
$.messages[*].content[*].audio_url,1,1,0,0,1,0,0,0,0,0,0
$.messages[*].content[*].cache_control,1,1,1,0,0,0,0,0,0,0,0
$.messages[*].content[*].closed,1,1,0,0,0,0,0,0,0,1,0
$.messages[*].content[*].document,1,1,0,0,0,0,1,0,0,0,0
$.messages[*].content[*].document_name,1,1,0,0,0,0,0,0,0,1,0
$.messages[*].content[*].document_url,1,1,0,0,0,0,0,0,0,1,0
$.messages[*].content[*].file_id,1,1,0,0,0,0,0,0,0,1,0
$.messages[*].content[*].image,1,1,0,0,0,0,0,0,0,0,1
$.messages[*].content[*].reference_ids,1,1,0,0,0,0,0,0,0,1,0
$.messages[*].content[*].refusal,1,1,0,1,0,0,0,0,0,0,0
$.messages[*].content[*].thinking,1,1,0,0,0,0,0,0,0,1,0
$.messages[*].images,1,1,1,0,0,0,0,0,0,0,0
$.messages[*].images[*].image_url,1,1,1,0,0,0,0,0,0,0,0
$.messages[*].model,1,1,1,0,0,0,0,0,0,0,0
$.messages[*].prefix,1,1,0,0,0,0,0,0,0,1,0
$.messages[*].reasoning[*].text,1,1,0,0,0,0,0,0,0,0,1
$.messages[*].reasoning[*].type,1,1,0,0,0,0,0,0,0,0,1
$.messages[*].reasoning_details,1,1,1,0,0,0,0,0,0,0,0
$.messages[*].reasoning_details[*].arguments,1,1,1,0,0,0,0,0,0,0,0
$.messages[*].reasoning_details[*].data,1,1,1,0,0,0,0,0,0,0,0
$.messages[*].reasoning_details[*].format,1,1,1,0,0,0,0,0,0,0,0
$.messages[*].reasoning_details[*].id,1,1,1,0,0,0,0,0,0,0,0
$.messages[*].reasoning_details[*].index,1,1,1,0,0,0,0,0,0,0,0
$.messages[*].reasoning_details[*].result,1,1,1,0,0,0,0,0,0,0,0
$.messages[*].reasoning_details[*].signature,1,1,1,0,0,0,0,0,0,0,0
$.messages[*].reasoning_details[*].summary,1,1,1,0,0,0,0,0,0,0,0
$.messages[*].reasoning_details[*].text,1,1,1,0,0,0,0,0,0,0,0
$.messages[*].reasoning_details[*].tool_call_id,1,1,1,0,0,0,0,0,0,0,0
$.messages[*].reasoning_details[*].tool_name,1,1,1,0,0,0,0,0,0,0,0
$.messages[*].reasoning_details[*].type,1,1,1,0,0,0,0,0,0,0,0
$.messages[*].tool_calls[*].custom,1,1,0,1,0,0,0,0,0,0,0
$.min_completion_tokens,1,1,0,0,0,0,0,0,0,0,1
$.min_tokens,1,1,0,0,0,0,0,0,0,0,1
$.mirostat_lr,1,1,0,0,0,1,0,0,0,0,0
$.mirostat_target,1,1,0,0,0,1,0,0,0,0,0
$.model_parameters,1,1,0,0,0,0,0,0,0,0,1
$.models,1,1,1,0,0,0,0,0,0,0,0
$.moderation,1,1,0,1,0,0,0,0,0,0,0
$.moderation.model,1,1,0,1,0,0,0,0,0,0,0
$.moderation.policy,1,1,0,1,0,0,0,0,0,0,0
$.moderation.policy.input,1,1,0,1,0,0,0,0,0,0,0
$.moderation.policy.output,1,1,0,1,0,0,0,0,0,0,0
$.perf_metrics_in_response,1,1,0,0,0,1,0,0,0,0,0
$.plugins,1,1,1,0,0,0,0,0,0,0,0
$.plugins[*].allowed_domains,1,1,1,0,0,0,0,0,0,0,0
$.plugins[*].allowed_models,1,1,1,0,0,0,0,0,0,0,0
$.plugins[*].analysis_models,1,1,1,0,0,0,0,0,0,0,0
$.plugins[*].blocked_domains,1,1,1,0,0,0,0,0,0,0,0
$.plugins[*].cost_quality_tradeoff,1,1,1,0,0,0,0,0,0,0,0
$.plugins[*].cost_tier,1,1,1,0,0,0,0,0,0,0,0
$.plugins[*].enabled,1,1,1,0,0,0,0,0,0,0,0
$.plugins[*].engine,1,1,1,0,0,0,0,0,0,0,0
$.plugins[*].exclude_domains,1,1,1,0,0,0,0,0,0,0,0
$.plugins[*].excluded_models,1,1,1,0,0,0,0,0,0,0,0
$.plugins[*].id,1,1,1,0,0,0,0,0,0,0,0
$.plugins[*].include_domains,1,1,1,0,0,0,0,0,0,0,0
$.plugins[*].max_content_tokens,1,1,1,0,0,0,0,0,0,0,0
$.plugins[*].max_price,1,1,1,0,0,0,0,0,0,0,0
$.plugins[*].max_results,1,1,1,0,0,0,0,0,0,0,0
$.plugins[*].max_tool_calls,1,1,1,0,0,0,0,0,0,0,0
$.plugins[*].max_uses,1,1,1,0,0,0,0,0,0,0,0
$.plugins[*].min_coding_score,1,1,1,0,0,0,0,0,0,0,0
$.plugins[*].mode,1,1,1,0,0,0,0,0,0,0,0
$.plugins[*].model,1,1,1,0,0,0,0,0,0,0,0
$.plugins[*].pdf,1,1,1,0,0,0,0,0,0,0,0
$.plugins[*].pdf.engine,1,1,1,0,0,0,0,0,0,0,0
$.plugins[*].pin_model,1,1,1,0,0,0,0,0,0,0,0
$.plugins[*].preset,1,1,1,0,0,0,0,0,0,0,0
$.plugins[*].price_source,1,1,1,0,0,0,0,0,0,0,0
$.plugins[*].search_prompt,1,1,1,0,0,0,0,0,0,0,0
$.plugins[*].tools,1,1,1,0,0,0,0,0,0,0,0
$.plugins[*].tools[*].parameters,1,1,1,0,0,0,0,0,0,0,0
$.plugins[*].tools[*].type,1,1,1,0,0,0,0,0,0,0,0
$.plugins[*].user_location,1,1,1,0,0,0,0,0,0,0,0
$.plugins[*].user_location.city,1,1,1,0,0,0,0,0,0,0,0
$.plugins[*].user_location.country,1,1,1,0,0,0,0,0,0,0,0
$.plugins[*].user_location.region,1,1,1,0,0,0,0,0,0,0,0
$.plugins[*].user_location.timezone,1,1,1,0,0,0,0,0,0,0,0
$.plugins[*].user_location.type,1,1,1,0,0,0,0,0,0,0,0
$.prediction.content[*].prompt_cache_breakpoint,1,1,0,1,0,0,0,0,0,0,0
$.prompt_cache_isolation_key,1,1,0,0,0,1,0,0,0,0,0
$.prompt_cache_retention,1,1,0,1,0,0,0,0,0,0,0
$.prompt_mode,1,1,0,0,0,0,0,0,0,1,0
$.prompt_token_ids,1,1,0,0,0,1,0,0,0,0,0
$.prompt_truncate_len,1,1,0,0,0,1,0,0,0,0,0
$.provider,1,1,1,0,0,0,0,0,0,0,0
$.provider.allow_fallbacks,1,1,1,0,0,0,0,0,0,0,0
$.provider.data_collection,1,1,1,0,0,0,0,0,0,0,0
$.provider.enforce_distillable_text,1,1,1,0,0,0,0,0,0,0,0
$.provider.ignore,1,1,1,0,0,0,0,0,0,0,0
$.provider.max_price,1,1,1,0,0,0,0,0,0,0,0
$.provider.max_price.audio,1,1,1,0,0,0,0,0,0,0,0
$.provider.max_price.completion,1,1,1,0,0,0,0,0,0,0,0
$.provider.max_price.image,1,1,1,0,0,0,0,0,0,0,0
$.provider.max_price.prompt,1,1,1,0,0,0,0,0,0,0,0
$.provider.max_price.request,1,1,1,0,0,0,0,0,0,0,0
$.provider.only,1,1,1,0,0,0,0,0,0,0,0
$.provider.order,1,1,1,0,0,0,0,0,0,0,0
$.provider.preferred_max_latency,1,1,1,0,0,0,0,0,0,0,0
$.provider.preferred_max_latency.p50,1,1,1,0,0,0,0,0,0,0,0
$.provider.preferred_max_latency.p75,1,1,1,0,0,0,0,0,0,0,0
$.provider.preferred_max_latency.p90,1,1,1,0,0,0,0,0,0,0,0
$.provider.preferred_max_latency.p99,1,1,1,0,0,0,0,0,0,0,0
$.provider.preferred_min_throughput,1,1,1,0,0,0,0,0,0,0,0
$.provider.preferred_min_throughput.p50,1,1,1,0,0,0,0,0,0,0,0
$.provider.preferred_min_throughput.p75,1,1,1,0,0,0,0,0,0,0,0
$.provider.preferred_min_throughput.p90,1,1,1,0,0,0,0,0,0,0,0
$.provider.preferred_min_throughput.p99,1,1,1,0,0,0,0,0,0,0,0
$.provider.quantizations,1,1,1,0,0,0,0,0,0,0,0
$.provider.require_parameters,1,1,1,0,0,0,0,0,0,0,0
$.provider.sort,1,1,1,0,0,0,0,0,0,0,0
$.provider.sort.by,1,1,1,0,0,0,0,0,0,0,0
$.provider.sort.partition,1,1,1,0,0,0,0,0,0,0,0
$.provider.zdr,1,1,1,0,0,0,0,0,0,0,0
$.random_seed,1,1,0,0,0,0,0,0,0,1,0
$.raw_output,1,1,0,0,0,1,0,0,0,0,0
$.reasoning.effort,1,1,1,0,0,0,0,0,0,0,0
$.reasoning.enabled,1,1,0,0,1,0,0,0,0,0,0
$.reasoning.summary,1,1,1,0,0,0,0,0,0,0,0
$.reasoning_history,1,1,0,0,0,1,0,0,0,0,0
$.response_format.grammar,1,1,1,0,0,0,0,0,0,0,0
$.return_token_ids,1,1,0,0,0,1,0,0,0,0,0
$.route,1,1,1,0,0,0,0,0,0,0,0
$.safe_prompt,1,1,0,0,0,0,0,0,0,1,0
$.safe_tokenization,1,1,0,0,0,1,0,0,0,0,0
$.safety_identifier,1,1,0,1,0,0,0,0,0,0,0
$.safety_model,1,1,0,0,1,0,0,0,0,0,0
$.sampling_mask,1,1,0,0,0,1,0,0,0,0,0
$.search_parameters,1,1,0,0,0,0,0,1,0,0,0
$.search_parameters.from_date,1,1,0,0,0,0,0,1,0,0,0
$.search_parameters.max_search_results,1,1,0,0,0,0,0,1,0,0,0
$.search_parameters.mode,1,1,0,0,0,0,0,1,0,0,0
$.search_parameters.return_citations,1,1,0,0,0,0,0,1,0,0,0
$.search_parameters.sources,1,1,0,0,0,0,0,1,0,0,0
$.search_parameters.sources[*].allowed_websites,1,1,0,0,0,0,0,1,0,0,0
$.search_parameters.sources[*].country,1,1,0,0,0,0,0,1,0,0,0
$.search_parameters.sources[*].excluded_websites,1,1,0,0,0,0,0,1,0,0,0
$.search_parameters.sources[*].excluded_x_handles,1,1,0,0,0,0,0,1,0,0,0
$.search_parameters.sources[*].included_x_handles,1,1,0,0,0,0,0,1,0,0,0
$.search_parameters.sources[*].links,1,1,0,0,0,0,0,1,0,0,0
$.search_parameters.sources[*].post_favorite_count,1,1,0,0,0,0,0,1,0,0,0
$.search_parameters.sources[*].post_view_count,1,1,0,0,0,0,0,1,0,0,0
$.search_parameters.sources[*].safe_search,1,1,0,0,0,0,0,1,0,0,0
$.search_parameters.sources[*].type,1,1,0,0,0,0,0,1,0,0,0
$.search_parameters.sources[*].x_handles,1,1,0,0,0,0,0,1,0,0,0
$.search_parameters.to_date,1,1,0,0,0,0,0,1,0,0,0
$.search_settings,1,1,0,0,0,0,1,0,0,0,0
$.search_settings.country,1,1,0,0,0,0,1,0,0,0,0
$.search_settings.exclude_domains,1,1,0,0,0,0,1,0,0,0,0
$.search_settings.include_domains,1,1,0,0,0,0,1,0,0,0,0
$.search_settings.include_images,1,1,0,0,0,0,1,0,0,0,0
$.session_id,1,1,1,0,0,0,0,0,0,0,0
$.speculation,1,1,0,0,0,1,0,0,0,0,0
$.stop_server_tools_when,1,1,1,0,0,0,0,0,0,0,0
$.stop_server_tools_when[*].max_cost_in_dollars,1,1,1,0,0,0,0,0,0,0,0
$.stop_server_tools_when[*].max_tokens,1,1,1,0,0,0,0,0,0,0,0
$.stop_server_tools_when[*].reason,1,1,1,0,0,0,0,0,0,0,0
$.stop_server_tools_when[*].step_count,1,1,1,0,0,0,0,0,0,0,0
$.stop_server_tools_when[*].tool_name,1,1,1,0,0,0,0,0,0,0,0
$.stop_server_tools_when[*].type,1,1,1,0,0,0,0,0,0,0,0
$.stream_options.include_obfuscation,1,1,0,1,0,0,0,0,0,0,0
$.thinking.reasoning_effort,1,1,0,0,0,0,0,0,1,0,0
$.thinking.type,1,1,0,0,0,0,0,0,1,0,0
$.tool_choice.allowed_tools,1,1,0,1,0,0,0,0,0,0,0
$.tool_choice.allowed_tools.mode,1,1,0,1,0,0,0,0,0,0,0
$.tool_choice.allowed_tools.tools,1,1,0,1,0,0,0,0,0,0,0
$.tool_choice.custom,1,1,0,1,0,0,0,0,0,0,0
$.tool_choice.custom.name,1,1,0,1,0,0,0,0,0,0,0
$.tool_choice.function.arguments,1,1,0,0,1,0,0,0,0,0,0
$.tool_choice.id,1,1,0,0,1,0,0,0,0,0,0
$.tool_choice.index,1,1,0,0,1,0,0,0,0,0,0
$.tools[*].allowed_domains,1,1,1,0,0,0,0,0,0,0,0
$.tools[*].cache_control,1,1,1,0,0,0,0,0,0,0,0
$.tools[*].cache_control.ttl,1,1,1,0,0,0,0,0,0,0,0
$.tools[*].cache_control.type,1,1,1,0,0,0,0,0,0,0,0
$.tools[*].custom,1,1,0,1,0,0,0,0,0,0,0
$.tools[*].custom.description,1,1,0,1,0,0,0,0,0,0,0
$.tools[*].custom.format,1,1,0,1,0,0,0,0,0,0,0
$.tools[*].custom.name,1,1,0,1,0,0,0,0,0,0,0
$.tools[*].engine,1,1,1,0,0,0,0,0,0,0,0
$.tools[*].excluded_domains,1,1,1,0,0,0,0,0,0,0,0
$.tools[*].max_characters,1,1,1,0,0,0,0,0,0,0,0
$.tools[*].max_results,1,1,1,0,0,0,0,0,0,0,0
$.tools[*].max_total_results,1,1,1,0,0,0,0,0,0,0,0
$.tools[*].max_uses,1,1,1,0,0,0,0,0,0,0,0
$.tools[*].mode,1,1,1,0,0,0,0,0,0,0,0
$.tools[*].parameters,1,1,1,0,0,0,0,0,0,0,0
$.tools[*].parameters.allowed_domains,1,1,1,0,0,0,0,0,0,0,0
$.tools[*].parameters.analysis_models,1,1,1,0,0,0,0,0,0,0,0
$.tools[*].parameters.blocked_domains,1,1,1,0,0,0,0,0,0,0,0
$.tools[*].parameters.cache_control,1,1,1,0,0,0,0,0,0,0,0
$.tools[*].parameters.engine,1,1,1,0,0,0,0,0,0,0,0
$.tools[*].parameters.environment,1,1,1,0,0,0,0,0,0,0,0
$.tools[*].parameters.excluded_domains,1,1,1,0,0,0,0,0,0,0,0
$.tools[*].parameters.forward_transcript,1,1,1,0,0,0,0,0,0,0,0
$.tools[*].parameters.inherit_functions,1,1,1,0,0,0,0,0,0,0,0
$.tools[*].parameters.inherited_function_names,1,1,1,0,0,0,0,0,0,0,0
$.tools[*].parameters.instructions,1,1,1,0,0,0,0,0,0,0,0
$.tools[*].parameters.max_characters,1,1,1,0,0,0,0,0,0,0,0
$.tools[*].parameters.max_completion_tokens,1,1,1,0,0,0,0,0,0,0,0
$.tools[*].parameters.max_content_tokens,1,1,1,0,0,0,0,0,0,0,0
$.tools[*].parameters.max_results,1,1,1,0,0,0,0,0,0,0,0
$.tools[*].parameters.max_tool_calls,1,1,1,0,0,0,0,0,0,0,0
$.tools[*].parameters.max_total_results,1,1,1,0,0,0,0,0,0,0,0
$.tools[*].parameters.max_uses,1,1,1,0,0,0,0,0,0,0,0
$.tools[*].parameters.mode,1,1,1,0,0,0,0,0,0,0,0
$.tools[*].parameters.model,1,1,1,0,0,0,0,0,0,0,0
$.tools[*].parameters.name,1,1,1,0,0,0,0,0,0,0,0
$.tools[*].parameters.reasoning,1,1,1,0,0,0,0,0,0,0,0
$.tools[*].parameters.search_context_size,1,1,1,0,0,0,0,0,0,0,0
$.tools[*].parameters.sleep_after_seconds,1,1,1,0,0,0,0,0,0,0,0
$.tools[*].parameters.stream,1,1,1,0,0,0,0,0,0,0,0
$.tools[*].parameters.temperature,1,1,1,0,0,0,0,0,0,0,0
$.tools[*].parameters.timezone,1,1,1,0,0,0,0,0,0,0,0
$.tools[*].parameters.tools,1,1,1,0,0,0,0,0,0,0,0
$.tools[*].parameters.user_location,1,1,1,0,0,0,0,0,0,0,0
$.tools[*].search_context_size,1,1,1,0,0,0,0,0,0,0,0
$.tools[*].sources,1,1,0,0,0,0,0,1,0,0,0
$.tools[*].sources[*].allowed_websites,1,1,0,0,0,0,0,1,0,0,0
$.tools[*].sources[*].country,1,1,0,0,0,0,0,1,0,0,0
$.tools[*].sources[*].excluded_websites,1,1,0,0,0,0,0,1,0,0,0
$.tools[*].sources[*].excluded_x_handles,1,1,0,0,0,0,0,1,0,0,0
$.tools[*].sources[*].included_x_handles,1,1,0,0,0,0,0,1,0,0,0
$.tools[*].sources[*].links,1,1,0,0,0,0,0,1,0,0,0
$.tools[*].sources[*].post_favorite_count,1,1,0,0,0,0,0,1,0,0,0
$.tools[*].sources[*].post_view_count,1,1,0,0,0,0,0,1,0,0,0
$.tools[*].sources[*].safe_search,1,1,0,0,0,0,0,1,0,0,0
$.tools[*].sources[*].type,1,1,0,0,0,0,0,1,0,0,0
$.tools[*].sources[*].x_handles,1,1,0,0,0,0,0,1,0,0,0
$.tools[*].user_location,1,1,1,0,0,0,0,0,0,0,0
$.tools[*].user_location.city,1,1,1,0,0,0,0,0,0,0,0
$.tools[*].user_location.country,1,1,1,0,0,0,0,0,0,0,0
$.tools[*].user_location.region,1,1,1,0,0,0,0,0,0,0,0
$.tools[*].user_location.timezone,1,1,1,0,0,0,0,0,0,0,0
$.tools[*].user_location.type,1,1,1,0,0,0,0,0,0,0,0
$.top_a,1,1,1,0,0,0,0,0,0,0,0
$.trace,1,1,1,0,0,0,0,0,0,0,0
$.trace.generation_name,1,1,1,0,0,0,0,0,0,0,0
$.trace.parent_span_id,1,1,1,0,0,0,0,0,0,0,0
$.trace.span_name,1,1,1,0,0,0,0,0,0,0,0
$.trace.trace_id,1,1,1,0,0,0,0,0,0,0,0
$.trace.trace_name,1,1,1,0,0,0,0,0,0,0,0
$.typical_p,1,1,0,0,0,1,0,0,0,0,0
$.user_id,1,1,0,0,0,0,0,0,1,0,0
$.verbosity,1,1,0,1,0,0,0,0,0,0,0
$.web_search_options.filters,1,1,0,0,0,0,0,1,0,0,0
$.web_search_options.user_location.approximate,1,1,0,1,0,0,0,0,0,0,0
$.web_search_options.user_location.type,1,1,0,1,0,0,0,0,0,0,0
